resource,object,code,fund,goal,function,Bayshore Elementary (68858),Belmont-Redwood Shores Elementary (68866),Brisbane Elementary (68874),Burlingame Elementary (68882),Cabrillo Unified (68890),Hillsborough City Elementary (68908),Jefferson Elementary (68916),Pacifica Elementary (68932),La Honda-Pescadero Unified (68940),Las Lomitas Elementary (68957),Menlo Park City Elementary (68965),Millbrae Elementary (68973),Portola Valley Elementary (68981),Ravenswood City Elementary (68999),Redwood City Elementary (69005),San Bruno Park Elementary (69013),San Carlos Elementary (69021),San Mateo-Foster City Elementary (69039),South San Francisco Unified (69070),Woodside Elementary (69088),Alum Rock Union Elementary (69369),Berryessa Union Elementary (69377),Cambrian Elementary (69385),Campbell Union Elementary (69393),Cupertino Union Elementary (69419),Evergreen Elementary (69435),Franklin-McKinley Elementary (69450),Gilroy Unified (69484),Lakeside Joint Elementary (69492),Loma Prieta Joint Union Elementary (69500),Los Altos Elementary (69518),Los Gatos Union Elementary (69526),Luther Burbank Elementary (69542),Moreland Elementary (69575),Morgan Hill Unified (69583),Mountain View Whisman Elementary (69591),Mount Pleasant Elementary (69617),Oak Grove Elementary (69625),Orchard Elementary (69633),Palo Alto Unified (69641),San Jose Unified (69666),Santa Clara Unified (69674),Saratoga Union Elementary (69682),Sunnyvale Elementary (69690),Union Elementary (69708),Milpitas Unified (73387)
Unrestricted,Prior Years' Taxes,8043,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),3327.26,16202.99,1331.45,14076.69,8255.41,2159.3,27326.19,13043.8,170950.86,2164.55,6115.95,7670.2,1241.57,193909.21,137660.56,28441.61,21843.49,47805.3,66729.68,806.4,0.0,0.0,0.0,257266.13,0.0,0.0,0.0,0.0,2215.29,6941.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46390.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unrestricted,Supplemental Taxes,8044,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),806538.65,3981948.74,0.0,3252331.96,0.0,0.0,13816656.1,6307214.48,0.0,0.0,0.0,4689700.39,0.0,2901979.72,0.0,0.0,0.0,0.0,0.0,0.0,9344152.9,5200154.42,2413640.09,0.0,5788188.75,7960588.99,7756058.02,8598090.08,0.0,0.0,0.0,0.0,385065.33,3928402.25,6935529.43,0.0,1815485.88,7394384.06,0.0,0.0,1634650.93,0.0,0.0,0.0,4410436.3,7713996.73
Unrestricted,Education Revenue Augmentation Fund (ERAF),8045,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),-3593940.13,0.0,0.0,-31042156.92,-30838410.3,0.0,-49585760.65,-26315444.6,0.0,0.0,0.0,-20619757.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6146000,-7643000,-3806000,0.0,-24752000,-10589000,-6455000,-11747000,0.0,0.0,0.0,0.0,-260000,-5983000,-15028000,0.0,-1630000,-7855000,0.0,0.0,0.0,0.0,0.0,0.0,-7071000,-17123000
Unrestricted,Community Redevelopment Funds,8047,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),1772976.97,91105.47,1078090.38,0.0,0.0,0.0,1032333.67,119695.95,0.0,0.0,521854.23,1611269.98,0.0,7601946.55,7253348.53,3691368.27,1274695,3756041.45,31121555.49,0.0,0.0,1432829.45,256032.48,1364697.93,0.0,0.0,1271853.71,0.0,0.0,0.0,0.0,1705178.89,0.0,0.0,14136957.52,28120.16,0.0,6175346.42,4526671.93,0.0,20573246.98,24769797.9,0.0,4430960.3,0.0,26723692.49
Unrestricted,Royalties and Bonuses,8081,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unrestricted,Other In-Lieu Taxes,8082,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-870799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19307.18,0.0,0.0,0.0,0.0
Unrestricted,Less: Non-LCFF (50 Percent) Adjustment,8089,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9653.59,0.0,0.0,0.0,0.0
Unrestricted,LCFF Transfers - Current Year,8091,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,-228100,-18837,-158000,-541700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1342944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2500000,0.0,0.0,0.0
Unrestricted,Transfers to Charter Schools in Lieu of Property Taxes,8096,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,-18120,0.0,0.0,0.0,0.0,0.0,-21942.01,0.0,0.0,0.0,0.0,-7961026,-10367520,0.0,-3305695.2,-9090,-54531,0.0,-8636608,0.0,0.0,-422121,29013.09,0.0,-10570680,-2636262.78,0.0,0.0,0.0,0.0,0.0,-3235269.02,-5807456.37,-141300.95,-1153443.62,0.0,-25901.67,-21270.01,-29429578,-1581628,0.0,-1078296.26,0.0,-20408.38
Unrestricted,Transfers to Charter Schools in Lieu of Property Taxes,8096,General Fund/County School Service Fund,Undistributed,Transfers Between Agencies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9920726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Special Education,Property Taxes Transfers,8097,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),366186.99,3401873.31,364453.12,3061945.21,2330467.83,1116398.71,5229077.71,0.0,214629.99,1025146.36,2373650.76,1819598.14,412478.48,1594557.57,5666073,1785588,2322171.33,9633461.83,6711317.47,300639.19,0.0,831771.45,1651691,1187529,11732841,6155422.43,0.0,6440165.65,21029,254076,3379646,2366012,0.0,3743849,4827327.67,3700314,0.0,5731936,0.0,8741316,9875663,7920139,1405794,5274177,3229224,3396550.2
Special Education,Property Taxes Transfers,8097,General Fund/County School Service Fund,Regionalized Program Specialist,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Special Education,Property Taxes Transfers,8097,General Fund/County School Service Fund,"Special Education, Ages 5-22",Special Education: Supplemental Aids & Services in Regular Classrooms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2475016.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: IDEA Basic Local Assistance Entitlement, Part B, Sec 611",Special Education - Entitlement,8181,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),78582.22,0.0,88014.96,740018.14,726675.83,259111.79,1413165.14,0.0,56156,213585.06,517726.82,449002.99,99663.51,362612.21,1372461.37,503697.81,0.0,2089122.81,0.0,75583.62,1659243,1085830.48,605322,1382824,0.0,1995757.73,1230544.54,1738195.6,16037,100707,799155,0.0,0.0,965164,1621995,1163301,352417,1782831,154457,249882.52,4962200,0.0,345321.32,0.0,37601.55,2172653.52
"Special Ed: IDEA Local Assistance, Part B, Sec 611, Private School ISPs",Special Education - Entitlement,8181,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,-13802.78,15222.81,0.0,114151.78,-677.41,0.0,2747.2,14314.57,4182.31,0.0,-11848.63,0.0,3448.6,0.0,98476.91,55077.02,0.0,32101,0.0,0.0,6929,0.0,0.0,0.0,19947.53,0.0,0.0,0.0,3464,0.0,0.0,0.0,0.0,0.0,14267,0.0,8210,55529,0.0,0.0,6275,8720.46,0.0
"Special Ed: IDEA Basic Local Assistance Entitlement, Part B, Sec 611",Special Education - Entitlement,8181,General Fund/County School Service Fund,"Special Education, Ages 5-22",Not Applicable (For use with revenues and balance sheet transactions only),0.0,808305.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63842.59,0.0,0.0,0.0,0.0,589292.68,0.0,1642705.82,0.0,0.0,0.0,0.0,0.0,2994826.78,0.0,0.0,0.0,0.0,0.0,0.0,540639,76353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3328168.48,0.0,0.0,0.0,0.0
"Special Ed: IDEA Local Assistance, Part B, Sec 611, Private School ISPs",Special Education - Entitlement,8181,General Fund/County School Service Fund,"Special Education, Ages 5-22",Not Applicable (For use with revenues and balance sheet transactions only),0.0,29862.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7045.53,0.0,-4182.31,0.0,0.0,98032.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.99,0.0,0.0,0.0,0.0
"Special Ed: IDEA Local Assistance, Part B, Sec 611, Private School ISPs",Special Education - Entitlement,8181,General Fund/County School Service Fund,"Special Education, Ages 5-22",Special Education: Separate Classes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12120.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: IDEA Basic Local Assistance Entitlement, Part B, Sec 611",Special Education - Entitlement,8181,General Fund/County School Service Fund,"Special Education, Ages 5-22",Special Education: Resource Specialist Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1098925.07,0.0,0.0
"Special Ed: IDEA Basic Local Assistance Entitlement, Part B, Sec 611",Special Education - Entitlement,8181,General Fund/County School Service Fund,"Special Education, Ages 5-22",Special Education: Supplemental Aids & Services in Regular Classrooms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577952.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: ARP IDEA Part B, Sec. 611, Local Assistance Entitlement",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,614.97,231514.84,0.0,12573,48327.94,114028.37,80986.16,0.0,0.0,299176.94,0.0,120585.71,473475.98,0.0,0.0,343409,7547.79,133038,203943.95,0.0,247612.03,260554,416123,0.0,0.0,0.0,0.0,0.0,204962,310785,241859,80059,0.0,32890,481383,0.0,0.0,0.0,0.0,57284,59183
"Special Ed: ARP IDEA Part B, Sec.611, Local Assistance Private School Individual Service Plans (ISPs)",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,-7268.28,0.0,0.0,14931.69,0.0,0.0,0.0,3072.73,0.0,0.0,0.0,16744.4,0.0,0.0,0.0,0.0,0.0,5416,0.0,1035,2761,0.0,0.0,0.0,3723,0.0,0.0,0.0,0.0,0.0,1726,5078,434,0.0,0.0,0.0,3045,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: ARP IDEA Part B, Sec. 619, Preschool Grants",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,33452.01,0.0,492,5411.35,13774.36,7944.86,0.41,-4132.31,53129.67,0.0,18693.77,39847.25,0.0,0.0,0.0,20334,0.0,0.0,0.0,7332,46143,37540,0.0,0.0,0.0,0.0,0.0,3660,21115,45805,10167,0.0,5866,30080,0.0,0.0,0.0,0.0,0.0,5279
"Special Ed: IDEA Preschool Grants, Part B, Sec 619",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),1672.94,0.0,3329.52,-15322,18584.46,6659.05,7070.49,15946.77,832.38,2497.14,29908.2,10310.42,832.38,1343.22,31865.7,10820.95,0.0,49942.85,0.0,2463.32,0.0,42120,0.0,0.0,0.0,0.0,107301.71,30852.69,715,0.0,0.0,0.0,0.0,0.0,7974,57444,39868,0.0,20931,4271.73,102546,0.0,0.0,0.0,0.0,42204
"Special Ed: IDEA Preschool Capacity Building, Part B, Sec 619",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,-3907.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: IDEA Mental Health Allocation Plan, Part B, Sec 611",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,3013.02,0.0,0.0,14456.4,64423,0.0,0.0,0.0,31201.35,0.0,0.0,0.0,73695.35,23580.58,0.0,114904.78,0.0,0.0,105390,74387,0.0,76433,0.0,103855,954.58,140213,831,0.0,36375,32566,0.0,49783,103517,47157,23197,108972,8379,127959,342485,171137,20446,0.0,68988,111146
"Special Ed: IDEA Preschool Staff Development, Part B, Sec 619",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),14.9,0.0,0.0,-4.01,123.36,0.0,549.95,0.0,14,21.77,113.98,114.26,7.26,258.49,638.56,130.07,0.0,435.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,5,0.0,224,0.0,0.0,349,59,434,294,0.0,154,207,1030,0.0,0.0,0.0,0.0,221
Special Ed: IDEA Quality Assurance & Focused Monitoring,Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Special Ed: Alternate Dispute Resolution,Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6716,5563,0.0,0.0,0.0,0.0,4974.63,2735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14306.5,2030.48,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Special Ed: ARP IDEA Part B, Sec. 611, Local Assistance Entitlement",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Preschool Students",Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369613,0.0,0.0,0.0,0.0,67243,0.0,0.0,0.0
"Special Ed: ARP IDEA Part B, Sec. 619, Preschool Grants",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Preschool Students",Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7944.86,0.0,0.0,0.0,0.0,0.0,0.0,43290.84,0.0,50835,0.0,8414,43330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20739,0.0,0.0,0.0,28375.38,0.0,0.0,0.0,0.0,1683,0.0,4181,0.0
"Special Ed: IDEA Preschool Grants, Part B, Sec 619",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Preschool Students",Not Applicable (For use with revenues and balance sheet transactions only),0.0,21919.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717.48,0.0,0.0,0.0,0.0,16980.9,0.0,73249.5,0.0,86713,0.0,16471,63019,74733,94480,0.0,0.0,0.0,4297,29173,7161,0.0,50128,0.0,9825,0.0,42858,0.0,0.0,0.0,88914,937.39,0.0,43480,0.0
"Special Ed: IDEA Preschool Staff Development, Part B, Sec 619",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Preschool Students",Not Applicable (For use with revenues and balance sheet transactions only),0.0,131.31,0.0,0.0,0.0,59.77,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,174.15,0.0,638.56,0.0,796,0.0,251,1053,0.0,618,0.0,0.0,0.0,30,0.0,50,15,0.0,0.0,0.0,0.0,316,0.0,0.0,0.0,0.0,60,0.0,298,0.0
"Special Ed: ARP IDEA Part B, Sec. 611, Local Assistance Entitlement",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Ages 5-22",Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,-222502.38,0.0,0.0,0.0,0.0,-80986.16,0.0,0.0,0.0,99361.03,0.0,0.0,336811.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548497.04,0.0,0.0,0.0,0.0
"Special Ed: ARP IDEA Part B, Sec.611, Local Assistance Private School Individual Service Plans (ISPs)",Special Education - Discretionary Grants,8182,General Fund/County School Service Fund,"Special Education, Ages 5-22",Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.46,0.0,0.0,9959.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4062,0.0,0.0,0.0,1234.26,0.0,0.0,0.0,0.0
